"","x"
"843","Gura lui, dacă ar fi petică, s-ar rupe."
"844","Găina, cum naşte oul, la clocit gândeşte!"
"845","Dacă limba femeii ar fi mai scurtă, zilele bărbatului ar fi mai lungi."
"846","Orice sac îşi are peticul."
"847","Gura, de multe ori, capul jos l-aruncă."
"848","La bătrâneţe s-a călugărit motanul."
"849","Nu te pune cu prostul, că eşti mai prost ca el."
"850","Nebunul nu râde de ce vede, ci de ce şi-aduce aminte."
"851","Deşteptul pleacă, iar prostul rămâne."
"852","Omul până nu dă cu capul de pragul de sus, nu vede pragul de jos."
"853","Te uiţi ca mâţa în calendar."
"854","O cauţi cu lumânarea."
"855","Nimeni nu s-a născut învăţat."
"856","Cauţi acul în carul cu fân."
"857","Frumuseţea este ochiul dracului."
"858","Gura înţeleptului când se deschide, tu închide pe a ta."
"859","Gura lui trebuie pusă în alt loc."
"860","A faptelor rele începătură spre rău sfârşit pleacă."
"861","Copiii sunt argila, iar mama este olarul."
"862","Nu muşca mâna care te hrăneşte!"
"863","Ce intră în gura lupului, anevoie iese."
"864","Ce a mâncat lupul, e bun mâncat."
"865","Cuvântul bun unge, şi cel rău împunge."
"866","De ciudă şi de mânie, mă duc la beţie."
"867","Crăciunul, sătul, Paştele, fudul."
"868","Cu un covrig, tot calic."
"869","Celui cu economie, suta îi este o mie."
"870","Omul fără noroc să nu-şi mai caute la ţigancă în ghioc."
"871","Fuge de ploaie şi dă de noroaie."
"872","Te slujeşte norocul, cât umbra acului pe croitor."
"873","Omul fără noroc e ca tămâia fără foc."
"874","L-a făcut piftie."
"875","A făcut el ""poc!"" cu măciuca, dar şi eu ""fliş!"" cu biciuşca."
"876","Mai bine tocmeală ţigănească şi plată negustorească."
"877","Păcatul vechi aduce osândă nouă."
"878","Cine intră în cârciumă nu intră să se închine."
"879","Cât e baba de bătrână, tot doreşte voie bună."
"880","Cei bătrâni au mintea copiilor."
"881","Bătrâneţea îşi are farmecul ei, dar e şi urâtă."
"882","Cei bătrâni mai mult trăiesc, ca oala cea veche."
"883","Omul fricos totdeauna umblă cu gheaţa-n sân."
"884","Sub frunza cea mai proastă, se găseşte de multe ori poama coaptă."
"885","Unde se găseşte frâul, se cere şi calul."
"886","Om în trup destul de mare, şi minte de copil are."
"887","Fumul şi femeia rea te scoate din casă afară."
"888","Femeia vrednică e coroana casei."
"889","Unde nu-i bărbat în casă, nu e nici pâine pe masă."
"890","Unde nu-i bărbat în casă, nici mămăligă pe masă."
"891","Unde bărbatul lipseşte, ca gardul când lipseşte, pază nu se mai găseşte."
"892","Bărbatul care-i frumos, cum ajunge toarnă-n coş."
"893","Nici bărbat în argea, nici muiere la război."
"894","Nuntă fără lăutari şi ceartă fără bătaie n-are haz."
"895","Şi cu porcul gras în bătătură, şi cu porumbi în pătul, nu se poate."
"896","Nu e omul niciodată bătrân, când e vorba de învăţătură."
"897","Buruieni se găsesc şi în cea mai bună grădină."
"898","Buzele celui drept se pricep la vorbe plăcute, iar gura celui rău, la strâmbătate."
"899","Buzele cele dulci ca lipitoarea te sug."
"900","Frate la câştig şi străin la pagubă."
"901","Vorbeşte soacrei, să priceapă şi nora."
"902","Până soarele se-nalţă, leneşul se încalţă."
"903","Să te ferească Dumnezeu de omul spân şi roşu."
"904","A nimerit-o, ca neica Stan, cu oiştea-n gard."
"905","La stârvul mare, se adună câini mulţi."
"906","Mila de la străin e ca umbra de la spin."
"907","Coadă lungă, minte scurtă!"
"908","Când zburdă măgarii, se strică vremea."
"909","Când se tund oile, tremură mieii."
"910","Când se iveşte lupul, vulpea îşi caută gaura."
"911","Când se bat cap în cap berbecii, numai oaie să nu fii!"
"912","Burta plină nu învaţă nimic."
"913","Găina, când se vede în tărâţă, dă cu picerele."
"914","Prietenia veche nu se înlocuieşte!"
"915","Fereştete de cei cu firea indoielnică!"
"916","Cei iuţi la mânie au parte de pagube mari!"
"917","Norocul nu te părăseşte dacă nu îl alungi."
"918","Gura rea, numai pământul o astupă."
"919","Gura taie mai mult decât sabia."
"920","Găina, pân' nu scurmă, nu se simte sătulă!"
"921","Omul işi arată adevărata faţă când e încolţit."
"922","Vulturul nu trăieşte în cuib de vrabie."
"923","Mai bine cu haina cârpită, decât cu stomacul gol."
"924","Greu ete să te ţii cu cei mari, rău e şi cu mojicii să fii!"
"925","Hai, cumătră, cum o fi, că cumătrul n-a mai şti!"
"926","Porcul glod găseşte."
"927","Când cineva face pe măgarul, să nu se mire că ceilalţi îl călăresc."
"928","Greu îi este săracului a trăi şi bogatului a muri!"
"929","Uşor de zis, greu de făcut!"
"930","Gura mereu curăţată, de dureri este cruţată."
"931","Gura nu cere chirie, poate vorbi orice fie."
"932","Gustă, apoi mâncă."
"933","Gură rea, inimă rea."
"934","Cine cumpără ce nu-i trebuie, vinde şi ce are."
"935","Lăcomia ucide mai mulţi oameni decât sabia."
"936","Caută să îmbete lumea cu apă rece."
"937","Din vorbă în vorbă iese adevărul."
"938","Cei ce se potrivesc se întâlnesc des."
"939","Toţi dăm sau primim ajutor."
"940","Să te ferească sfântul de locul unde vorbeşti şi nimeni nu te ascultă."
"941","Cine nu ascultă, nu învaţă."
"942","Lucrul la timp dăruit preţuieşte îndoit."
"943","Darul nu se refuză."
"944","În viaţă nu-i loc pentru proşti."
"945","Dacă vrei să scapi de un prieten împrumută-i bani."
"946","Râde dracul de căţel şi nu se vede pe el."
"947","Haideţi să vorbim degeaba, că tot n-avem nici o treabă!"
"948","Ca unealtă lucrezi, unealtă rămâi."
"949","Cel ce vorbeşte mult ascultă puţin."
"950","Acul este mic, dar scumpe haine coase."
"951","Cine purcei hrăneşte, porci va avea."
"952","Cine spală capul măgarului, în zadar pierde osteneala şi săpunul."
"953","Cine trăieşte cu chiorii, se învaţă a se uita cruciş."
"954","Câinele, uneori, intră în biserică dar, nici biserica nu se spurcă, nici câinele nu se sfinţeşte!"
"955","Când ar face toate muştele miere, ar fi pe toţi pereţii faguri!"
"956","Când e omului să-i vie vreun rău, fără să-l ştie, ori zăboveşte până-l soseşte, ori dă fuga să-l ajungă."
"957","Când lelea tot zâmbeşte, umblă după căpătuit."
"958","Când nenorocirea doarme, fereşte-te s-o trezeşti."
"959","Când şezi între înţelepţi, ma mult să asculţi, decât să vorbeşti."
"960","Cotoiul s-a călugărit şi s-a jurat că nu mai mănâncă şoareci."
"961","Haina asta străină, a ta este?"
"962","Şi-a găsit hârbul capacul, ticva dopul şi lelea bărbatul."
"963","Pe cap bun, stă bine şi o căciulă ruptă."
"964","Doctorul cel mai bun este cumpătul."
"965","Mâncarea ţărănească puţine boale aduce."
"966","Până nu plouă, nu ies ciupercile."
"967","Nevoia schimbă legea."
"968","Legea-i după cum o fac domnii."
"969","Legea înainte, şireţii după ea."
"970","Fă orice în legea ta şi la alţii nu te uita."
"971","Pune-ţi căciula dinainte şi te judecă singur."
"972","La unul fără lege, unul fără Dumnezeu."
"973","Cine se judecă adeseori pierde un bou şi câştigă o pisică."
"974","Judecăţile adeseori te duc la covrigi."
"975","Când ai vreo judecată, pregăteşte-te de plată."
"976","Decât o judecată dreaptă, mai bine o pace strâmbă."
"977","Judecă întâi pe om şi apoi îl spânzură."
"978","Am minte, dar n-am ce vinde."
"979","Cine are mintea-ntreagă în cearta altuia nu se bagă."
"980","Omul prost nu-mbătrâneşte, cel cu minte se topeşte."
"981","Adevărul iese ca untdelemnul la suprafaţa apei."
"982","Se fură ca în vremea lui Caragea."
"983","Nu-i pădure fără vreascuri, cum nu-i om fără cusur."
"984","Nimeni nu întreabă de casa frumosului, ci de casa vrednicului."
"985","Voinţa inimii dă aripi picioarelor."
"986","Prostul chibzuieşte, dar n-o nimereşte."
"987","Pentru un purice nu pui pătura-n foc, nici nu-ţi laşi casa şi fugi."
"988","A făgăduit marea cu sarea şi Oltul cu totul."
"989","Ca viermele la lemn, temerea la inimă."
"990","Cine se teme de brumă să nu sădească vie."
"991","De ce te temi, nu trece."
"992","Frica păzeşte pepenii."
"993","Călătorului îi stă bine cu drumul."
"994","Norocu-i un prost mare; ştiinţă de nimic n-are."
"995","De unde să ştie omul ce noroc îl va nimeri?"
"996","Se ţine norocul după mine ca pulberea după câine."
"997","Rar la om aşa noroc."
"998","I-a bătut ceasul norocului."
"999","Peştele mare cu îmbucătură mică se prinde."
"1000","Adevărul îşi pierde dreptul în gura mincinosului."
"1001","De la nebun şi de la beat adevăru-i lesne de aflat."
"1002","Cine se învaţă minicinos, când spune adevărul se îmbolnăveşte."
"1003","Cine a minţit odată, nu se mai crede când spune adevărul."
"1004","Adevărul a grăi nicium să te sfieşti, măcar că la puţini vei fi plăcut şi ascultat."
"1005","În multe greşeli cade cel ce fără de lucru şade."
"1006","Făţarnicul e ca un cărbune acoperit care pe neştiute te arde."
"1007","Apa lină face mult noroi, iar cea repede şi pietrele le spală."
"1008","Vremea vremuieşte, floarea se păleşte."
"1009","Apa când se umflă şi pe munţi îi cufundă."
"1010","Apa, cât de tulbure, tot stinge focul."
"1011","Apa cât de mare vine, piatra tot în vad rămâne."
"1012","Cerul curat de trăsnet nu se teme."
"1013","Cerul limpede trăsnete nu aduce."
"1014","Şi tina luceşte când soarele o izbeşte."
"1015","Soarele răsare, chiar dacă nu cântă cucoşii."
"1016","După ce apune soarele, laudă ziua."
"1017","Soarele, de e soare, şi tot nu poate lumina toate văile."
"1018","Unde e hoitul, acolo se adună corbii."
"1019","De unde alergi, d-acolo mănânci."
"1020","Calea bătută este cea mai scumpă."
"1021","În pământul negru se face pâinea albă."
"1022","Numai pământul astupă gura flecarului."
"1023","Pământul te naşte, pământul te creşte, pământul te mistuieşte."
"1024","Unde-i căpăstrul, acolo-i şi calul."
"1025","Unde înserează, acolo doarme."
"1026","Unde nu-i lac, nu-s broaşte."
"1027","Ca vremea, niciun dascăl mai bun."
"1028","Ai scăpat vremea, ai scăpat roada."
"1029","Când arde moara, şi şoarecii se prăpădesc."
"1030","Când corabia se îneacă, şoarecii fug."
"1031","Când este în sac, este şi pe masă."
"1032","Când grăiesc femeile la izvor, să ştii că-i drept."
"1033","Când iese urzica, se lasă furca."
"1034","Când înfloreşte mărul, atunci să începi a ara."
"1035","Când la strâns e vreme bună, pâine multă se adună."
"1036","Când moare ciobanul, se împrăştie oile."
"1037","Când plouă în luna mai, plugul e de aur."
"1038","Când pleci la drum, ştii, dar când ai să te întorci, nu poţi chiti."
"1039","Când puterea se sfârşeşte, inima la ce slujeşte?"
"1040","Când seacă lacul, se vede peştele."
"1041","Când se culcă grâul, se scoală stăpânul."
"1042","Când se însoară, nu-i de moară."
"1043","Când se rupe o verigă, tot lanţul se desface."
"1044","Când te doare pân' la os, uiţi să mai vorbeşti frumos."
"1045","Când untdelemnul se isprăveşte, candela se istoveşte."
"1046","Dacă nu ţi se pleacă ţie vremea, pleacă-te tu vremii."
"1047","De când s-au lărgit uliţele, au pierit credinţele."
"1048","Făurar cu frigul scoate din lăzi câştigul."
"1049","Gândeşte de azi ce vei mânca mâine."
"1050","Greşeala unei clipe strică bucuria zilelor de apoi."
"1051","În vremea cea mai bună ia mantaua cu tine."
"1052","E cald de cască mâţele."
"1053","E ger de îngheaţă şi cenuşa în vatră."
"1054","E ger de îngheaţă şi apa-n cioc."
"1055","Întoarce cojocul după vreme."
"1056","Întru zadar te munceşti noaptea ziuă să o faci."
"1057","În vremea ninsorii se bucură lupii."
"1058","La bătrâneţe se simte cine nu s-a cruţat la tinereţe."
"1059","Lucrul la timp făcut preţuieşte îndoit."
"1060","Maiul alege dacă păpuşoi vom culege."
"1061","Maiul e luna de plimbare pentru cel ce-n pungă n-are."
"1062","Maiul este luna lui Traistă-n băţ."
"1063","Martie uscat, prier ud, maiul potrivit, fericit ţăranul care a semănat."
"1064","Micşuneaua cât de frumoasă, dar până în vară nu ţine."
"1065","Noapte cu soare nu s-a pomenit."
"1066","Pe secetă mare e bună şi grindina."
"1067","Rabdă un ceas şi vei trăi un an."
"1068","Revărsatul zorilor nu ţine toată ziua."
"1069","Scoală-te de dimineaţă dacă vrei să-ţi lungeşti viaţa."
"1070","Şi cea mai frumoasă dimineaţă are seară întunecoasă."
"1071","Timpul cumpără paiele şi nevoia le vinde."
"1072","Trei zile treapădul şi un ceas praznicul."
"1073","Un ceas la vreme face cât o mie la nevreme."
"1074","Vara-i strângătoare, iarna-i mâncătoare."
"1075","Veacul ca un râu, mereu curge la vale, da îndărăt niciodată."
"1076","Vine vara, te-ncălzeşte; vine iarna, te răceşte."
"1077","Vremea strânsului hotărăşte soarta anului."
"1078","Vremea toate le găseşte şi toate le topeşte."
"1079","Apa trage la matca ei şi omul la teapa lui."
"1080","Cât de mică picătura, şi tot găureşte piatra."
"1081","Cine cade în gârlă, de ploaie nu se mai fereşte."
"1082","Cine se teme de brumă, să nu sădească vie."
"1083","Dacă nu plouă în mai, nu se mănâncă mălai."
"1084","Din vânt a venit, în vânt s-a dus."
"1085","După ploaie, şi căciulă de oaie."
"1086","Muntele nu se teme de omăt."
"1087","Ploaia de dimineaţă e ca hora de babe."
"1088","Între doi munţi este o vale."
"1089","La pământul ud nu trebuie apă multă."
"1090","La vale, şi-un firişor de apă vad îşi sapă."
"1091","Norul, până nu se-ngroaşă, furtună nu aduce."
"1092","Picătura cea mai de pe urmă vasul găureşte."
"1093","Picătura mică roade piatra mare."
"1094","Ploaia care vine cu putere mare nu durează mult."
"1095","Ploaia mărunţică multă vreme ţine."
"1096","Şi vânturile la vremea lor sunt foarte trebuincioase."
"1097","Vânt seamănă şi abur va secera."
"1098","Toate apele în mare se varsă şi marea nu se mai umple."
"1099","Vântul aduce, vântul duce."
"1100","Vântul adună norii şi tot vântul îi risipeşte."
"1101","Vântul aprinde focul şi tot el îl stinge."
"1102","Vântul aruncă şi pe cei mai mari copaci la pământ."
"1103","Vântul aţâţă focul şi vorba aţâţă vrajba."
"1104","Vântul bate, câinii latră."
"1105","Vijelia culcă şi trestia şi stejarul."
"1106","Şi fierul spuzeşte în faţa soarelui."
"1107","Şi aurul, cât de cinstit, murdalâc într-însul tot s-a găsit."
"1108","Rugina moale roade fierul tare."
"1109","Piatră moale anevoie găseşti."
"1110","Piatra când se rostogoleşte, multe alte pietre trage după ea."
"1111","De fierul rău nici rugina nu se lipeşte."
"1112","Cine e muşcat de şarpe, se păzeşte şi de şopârlă."
"1113","Cine-i azi purcel, porc se face mâine."
"1114","Cine încalecă măgarul, trebuie să-i sufere şi năravul."
"1115","Cine n-are găini, de vulpe nu se păzeşte."
"1116","Cine se face oaie, îl mănâncă lupii."
"1117","Cine se ia după muscă, ajunge la bălegar."
"1118","Cine trăieşte la un loc cu porcii, miroase rău la toţi câinii."
"1119","Cine vrea să miluiască un câine, găseşte câteva fărâmituri în casă."
"1120","Cioară albă nu se poate."
"1121","Cu o vacă singură nu faci cireadă."
"1122","Cu miere se prind muştele."
"1123","Cu fuga nu prinzi iepurele."
"1124","Lemnul care se îndoieşte e mai bun decât cel care se rupe."
"1125","Nici salcia pom, nici dezmăţatul om."
"1126","Dacă pădurea n-ar da coadă securei, pădurea n-ar putea fi tăiată."
"1127","Cucul, până nu vede mugur, nu cântă."
"1128","Cucul cântă, iar leneşul stă şi numără."
"1129","Corbul numai la oameni morţi scoate ochii, iar linguşitorii la cei vii."
"1130","Corbii simt hoitul de departe."
"1131","Cocoşul cântă şi sub covată."
"1132","Cocoşul care cântă toată noaptea, îl mănâncă vulpea."
"1133","Cocoşească-se găina unde vrea, numai să se ouă acasă."
"1134","Cloşca cu ouă multe niciun pui nu scoate."
"1135","Cioara în loc de privighetoare nu se poate vinde."
"1136","Cioara e tot cioară, ia pruna şi zboară."
"1137","Cu un chitic, tot calic."
"1138","Cu un grăunte nu se îngraşă găina."
"1139","Dacă ar creşte mintea pe toate cărările, ar paşte-o şi măgarii."
"1140","Dacă ar face cocoşul ouă, ar fi găină."
"1141","Dacă ar face toate muştele miere, s-ar găsi faguri şi sub coada calului."
"1142","Dacă se învaţă câinele vara după căruţă, se ia şi iarna după sanie."
"1143","Dacă găina ar cânta ""cucurigu"", ar fi cocoş."
"1144","Dacă lupul s-ar teme de ploaie, ar purta manta."
"1145","Dă voie porcului împrejurul stogului că el se suie deasupra."
"1146","Fiecare vierme găseşte borticica lui."
"1147","Fiecare pasăre cu pana ei se laudă."
"1148","Fiecare oaie îşi duce lâna ei."
"1149","După gheare se cunoaşte leul."
"1150","După ce leul moare, mulţi se găsesc să-l jupoaie."
"1151","Două mâţe-n sac nu încap."
"1152","Doi câini nu se-mpacă la un os."
"1153","Din coadă de câine sită de mătase nu faci."
"1154","De te latră vreun câine, astupă-i gura cu pâine."
"1155","De s-ar teme lumea de vrăbii, n-ar semăna mălai."
"1156","De pe un bou nu poţi lua două piei."
"1157","De lupul bătrân câinii îşi bat joc."
"1158","De multe ori dintr-o iapă bună iese un catâr."
"1159","Câinele ce stă la bucătărie nu e pentru vânătorie."
"1160","Găina bătrână face zeama bună, dar şi zeama de pui proastă nu-i."
"1161","Găina care cântă nu ouă."
"1162","Găina care cârâie de cu seară, nu face ou a doua zi."
"1163","Găina care cloceşte niciodată nu e grasă."
"1164","Găina care cotcodoceşte mult nu face ouă."
"1165","Găina când va oua, aude o mahala."
"1166","Găina cu grăuntele umple guşa de bucate."
"1167","Găina, cum face oul, la clocit gândeşte."
"1168","Găina curătură (grâu cernut) visează şi vrabia mei."
"1169","Găina înaintea cocoşului nu cântă."
"1170","Hrăneşte-l pe lup cât l-ai hrăni, el tot la pădure se trage."
"1171","Diamantul se taie cu diamantul."
"1172","Fieru-i fier şi tot îl mănâncă rugina."
"1173","Fierul cât de tare tot se moaie la foc."
"1174","Pe oţelul vârtos rugina îl topeşte."
"1175","Piatra care se rostogoleşte din loc în loc nu prinde muşchi."
"1176","Buruiana proastă creşte şi pe pietre."
"1177","Când e un singur pelin pe imaş, de departe se vede."
"1178","Buruienile din semănătură îi iau pâinea de la gură."
"1179","Când rădăcina se usucă, ramură verde pe copac nu se mai urcă."
"1180","Cine leapădă floarea nu simte mirosul ei."
"1181","Copacul care scârţâie nu cade degrabă."
"1182","Copacul când se sfărâmă, şi p-alţii mici cu el dărâmă."
"1183","Copacul cu rădăcini adânci nu se teme de furtună."
"1184","Copacul din vârful muntelui de orice vânt se clatină."
"1185","Copacul dacă înfrunzeşte, umbreşte şi pe alţii."
"1186","Copacul mare nu se taie dintr-o lovitură (aşchie)."
"1187","Copacul tăiat iară odrăsleşte."
"1188","Cu gogoşi de tufă nu se-nnegresc sprâncenele."
"1189","Dacă floarea ţi-o păzeşti, rod bun dobândeşti."
"1190","În cea mai bună grădină găseşti buruieni."
"1191","Florile trandafirului se scutură, dar spinii rămân."
"1192","Floarea, până n-o pui la nas, nu cunoşti ce miros are."
"1193","Floarea, cum se deschide, se vede ce rod dă."
"1194","Floarea cea mai frumoasă, dacă nu e căutată, se sălbăticeşte."
"1195","Fără rădăcini nici pelinul nu creşte."
"1196","Dintr-un mărăcine iese un trandafir şi adesea dintr-un trandafir iese un mărăcine."
"1197","Din stejar stejar răsare."
"1198","De la copacul căzut şi babele adună crăcile."
"1199","Lemnul strâmb focul îl îndreaptă."
"1200","Oricât de înalt să fie copacul, frunzele cad tot pe pământ."
"1201","Orice lemn îşi are viermele său."
"1202","Pădurea-i mare, dar securea-i tare."
"1203","Pădurea nu se sperie de cel care pune multe lemne în căruţă."
"1204","Pe lângă lemnul uscat arde şi cel verde."
"1205","Plopul e înalt, dar umbră nu face."
"1206","Pe unde trece lupul, i se cunoaşte urma."
"1207","Pe unde sunt turme blânzi, sunt şi lupi mereu flămânzi."
"1208","Pe leul mort şi şoarecii se caţără."
"1209","Oaia, cât de hoaţă ar fi, nimeni n-o va bănui."
"1210","Pomul pădureţ pădureţe poame scoate."
"1211","De mărul cel copt se bucură toţi."
"1212","Cireşele trec, da' obrazul rămâne."
"1213","Bobiţă cu bobiţă se umple sacul."
"1214","Altoiul face pomul pom şi şcoala omul om."
"1215","Adesea para cea mai bună pică-n gura porcului."
"1216","Trestia care se pleacă vântului, niciodată nu se frânge."
"1217","Toţi copacii înfrunzesc, dar nu toţi dau roade."
"1218","Tot copacul de la rădăcini se usucă."
"1219","Şi plopul e înalt, dar îl spurcă ciorile."
"1220","Şi stejarul e mare, dar ghinda la porci o dăm."
"1221","Sub frunza cea mai proastă, se găseşte poamă coaptă."
"1222","Sub copacul frumos mulţi se adăpostesc."
"1223","Salcia, cât să căzneşti, pom nu poţi s-o altoieşti."
"1224","Fiecare grăunte are făină, dar are şi tărâţă."
"1225","Fructul, dacă se desprinde de pom, înapoi nu se mai întoarce."
"1226","Mai toţi copacii înfloresc, dar nu toţi rodesc."
"1227","Mălura din grâu se alege la râu."
"1228","Oricât de înalt să fie copacul, frunzele tot pe pământ cad."
"1229","Via cere sapă adâncă şi deasă, ca să ne dea nouă leac de viaţă."
"1230","Pomii cu mult rod ramurile şi le pierd."
"1231","Poama coaptă nu se caută după faţă, ci după dulceaţă."
"1232","Plopu-i pomu-ăl mai voinic, dar nu-i bun nici d-un otic!"
"1233","Plopul e destul de mare, dar pe dânsul poame n-are."
"1234","Plopul cât e de înalt şi tot îl clatină vântul."
"1235","Pentru fragă şi frunza ţi-e dragă."
"1236","Viţa de vie tot învie, cea de boz pică jos."
"1237","Albina cea bună nu se pune pe o floare veştejită."
"1238","Apucă-l pe porc de urechi, că mai tare va ţipa."
"1239","A poruncit câinelui şi câinele pisicii şi pisica şoarecelui, iar şoarecele de coadă şi-a atârnat porunca."
"1240","Apără-mă de găini, că de câini nu mă tem."
"1241","Albina te duce la miere şi musca la scârnă."
"1242","Are văz de lup şi auz de vulpe."
"1243","Ariciul cu meşteşug se prinde şi vrabia cu mei."
"1244","Ar împuşca iepurele, dar n-are cine i-l presura cu sare pe coadă."
"1245","Armăsarul când îmbătrâneşte, ajunge la râşniţă."
"1246","Bivoliţa este neagră, dar laptele ei este alb."
"1247","A trântorilor urlete a albinelor sunete astupă."
"1248","Boii ară şi caii mănâncă."
"1249","Boii bătrâni fac brazda dreaptă."
"1250","Boii uniţi la păşune, lupul nu-i poate răpune."
"1251","Boul are limbă mare, dar nu grăieşte."
"1252","Boul hrănit nu se culcă pe brazdă."
"1253","Boul nu treieră cu gura legată."
"1254","Boul se leagă de coarne şi omul de limbă."
"1255","Brânza de capră strică şi pe cea de oaie."
"1256","Broasca mică face gură mare."
"1257","Bufniţa nu cloceşte privighetori."
"1258","Calu-i bun şi învăţat, rău călăreţ l-a încălecat."
"1259","Capra e vaca săracului."
"1260","Capra, cât de râioasă, tot ţine coada sus."
"1261","Capra, cât de bătrână, vrea să lingă şi ea sare."
"1262","Capra care zbiară o mănâncă lupul."
"1263","Calul unde se trânteşte, acolo bate-l."
"1264","Calului să-i dai mâncare cu sacul şi să-l mâni ca pe dracul."
"1265","Calul trage la traista cu ovăz şi omul la crâşma cu vin ales."
"1266","Calul singur nu ştie să-şi aleagă drumul."
"1267","Calul râios găseşte copacul scorţos."
"1268","Calul potcovit niciodată nu alunecă pe gheaţă."
"1269","Calul e cu patru picioare şi tot se-mpiedică."
"1270","Capra nu merge de bună voie la iarmaroc."
"1271","Caprei îi pică coada de râie şi ea tot sus o ţine."
"1272","Capul măgarului nu albeşte niciodată."
"1273","Ca să ardă şoarecii, nu da foc morii."
"1274","Câinele care s-a înţeles cu lupii, nu păzeşte turma."
"1275","Câinele, că-i câine, dar şi el îşi ia lumea în cap de la o vreme."
"1276","Câinele, când are să turbeze, începe să urle cu o săptămână înainte."
"1277","Câinele când e mai sătul turbează."
"1278","Câinele sătul nu degeaba fuge de la uşa stăpânului."
"1279","Câinele opărit fuge şi de apă rece."
"1280","Câinele nu intră dacă nu-i uşa deschisă."
"1281","Câinele nu fuge de colac, dar de ciomag."
"1282","Câinele mic până la bătrâneţe-i căţeluş."
"1283","Câinele latră, iar lupul tace şi face."
"1284","Câinele fuge nu de-mbucătură, ci de zburătură."
"1285","Câinele flocos numai lui îşi ţine cald."
"1286","Câinele flămând visează oase."
"1287","Câinele de stârvuri nu moare."
"1288","Câinelui care zace nici mămăliguţa nu-i place."
"1289","Câine pe câine latră şi niciunul nu aude."
"1290","Când ai pisică bătrână, şoarecii-n casă-şi fac stână."
"1291","Când ar fi după corbi, toţi caii ar fi morţi."
"1292","Când ar fi pe pofta câinilor, n-ar rămâne vite-n sat."
"1293","Când câinii veghează, lupii nu cutează."
"1294","Când gâştele (găinile) păzesc stratul, puţin rămâne grădinarului."
"1295","Când joacă măgarii împreună, se strică vremea cea bună."
"1296","Când mor vitele de boală, toate javrele se îngraşă."
"1297","La o mână de învăţătură se cere un car de purtare bună."
"1298","Frumuseţea fără înţelepciune este ca o floare în tină."
"1299","Găina până nu scurmă nu se ţine sătulă."
"1300","Glasul măgarului nu se aude în cer."
"1301","Iapa flămândă îşi uită de mânzi."
"1302","Iepuraşul nu-i fricos, numai că se cam dă la dos."
"1303","Oaia care rămâne de turmă, o mănâncă lupii."
"1304","Oaia care nu poate să-şi ţină lâna trebuie tăiată."
"1305","Nu trezi şarpele care doarme."
"1306","Nu te speria de câinele care latră, ci de cel care se apropie pe furiş."
"1307","Nu se mai vâră găina în oul din care a ieşit."
"1308","Nu se întovărăşeşte albina cu trântorul."
"1309","Nu întărâta viesparul, că te muşcă mai rău decât albinele."
"1310","Nu îmbia câinele cu colaci!"
"1311","Nu crede capra că nu va roade pomul."
"1312","Nu bea porcul apă din ulcior."
"1313","Nici oaie între lupi, nici lup între oi (să nu fii)."
"1314","Oaia unde paşte, acolo îşi pierde lâna."
"1315","Oile grămadă merg, iar caprele se aleg."
"1316","Omul la tinereţe e ca şi calul fără frâu."
"1317","O oaie râioasă strică toată turma."
"1318","Pentru un purice nu azvârli plapuma în foc."
"1319","Pentru o muscă îşi dă palme."
"1320","Pentru carnea lupului trebuie dinţi de câine."
"1321","Pentru capră o păţeşte oaia."
"1322","Pe măgar unde-l legi, acolo rămâne."
"1323","Pe lup picioarele-l hrănesc."
"1324","Pe lup nu-l crede nimeni că-i flămând."
"1325","Pe lup mulţi câini îl latră, dar puţini îl încolţesc."
"1326","Pe dinafară miel se vede, pe dinăuntru lup întreg."
"1327","Pe caii cei buni îi mănâncă hamul."
"1328","Pe cal să nu-l crezi că nu te-ar trânti, pe câine - că nu te-ar muşca."
"1329","Păzeşte gâştele când se spovedeşte vulpea."
"1330","Peştele caută unde-i mai adânc, iar omul — unde-i mai bine."
"1331","Peşte, peşte, mămăliga prăpădeşte."
"1332","Pisica, cum o dai, tot în picioare cade."
"1333","Pisica râzgâiată nu prinde şoareci niciodată."
"1334","Porc la porc cel mai curat se pare, şi măgar la măgar cel cu glas mai frumos."
"1335","Porcul, dacă se satură, răstoarnă treuca."
"1336","Pe porc îl baţi şi el zice că-l scarpini."
"1337","Porcul, ori încotro face, lui tot noroiul îi place; din ce e nu-l poţi preface."
"1338","Omul la rău aleargă cu armăsarul şi la bine merge cu carul."
"1339","Omul lung e rar la carne."
"1340","Omul moare, dar faptele sale se pomenesc în veci."
"1341","Omul muncitor e ca un pom roditor."
"1342","Omul nebun găseşte de lucru."
"1343","Omul nepăţit chiar văzând nu vede."
"1344","Porcul strânge untură pentru alţii."
"1345","Porcul tot strânge, se-ngraşă bine, dar pentru alţii, nu pentru sine."
"1346","Porcului, dacă-i pui sârmă-n bot, nu râmă."
"1347","Porcului îi place în glod, iar beţivului în crâşmă."
"1348","Se sfădesc ca vrăbiile pe mălaiul altora."
"1349","Se risipesc ca puii de potârniche."
"1350","S-a dus lupul să îngrădească stâna şi vulpea să îngrijească găinăria."
"1351","Roiul care matca părăseşte uşor se prăpădeşte."
"1352","Racul nu-şi schimbă mersul."
"1353","Racul înainte nicicum se-nvaţă a merge."
"1354","Puricele cât de mic, dar sare cât o căprioară."
